# Constructed from biom file
#OTU ID	SRR6374533	SRR6374534	SRR6374535	SRR6374536	SRR6374537	SRR6374538	SRR6374539	SRR6374540	SRR6374541	SRR6374542	SRR6374543	SRR6374544	SRR6374545	SRR6374546	SRR6374547
7082a4b87d52a0b8a603c003749555bc	48.0	152.0	95.0	13.0	39.0	15.0	631.0	145.0	43.0	57.0	0.0	0.0	0.0	0.0	0.0
85dbbac1ca8bd52bcbc11e1fc8cdb263	14.0	138.0	381.0	270.0	86.0	0.0	38.0	108.0	71.0	89.0	0.0	0.0	42.0	0.0	0.0
cf30c729a2909083f21c6100ae60c1c4	0.0	0.0	0.0	0.0	0.0	0.0	1236.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
598ffa7fb14906123a7dc03536e43135	0.0	228.0	165.0	37.0	119.0	19.0	166.0	303.0	197.0	0.0	0.0	0.0	0.0	0.0	0.0
9542e3d26c9503c5228b1ff5ec7505c3	22.0	14.0	243.0	192.0	23.0	0.0	24.0	34.0	38.0	145.0	36.0	156.0	167.0	15.0	108.0
3ac7c5841598124fcb590feae9c7b6f7	0.0	116.0	0.0	0.0	0.0	0.0	35.0	0.0	1063.0	0.0	0.0	0.0	0.0	0.0	0.0
f1e028848dba0e40f33018deef891167	59.0	302.0	301.0	57.0	0.0	9.0	303.0	146.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0
a08b43b5fdac7d547d8eb36bc433fe72	0.0	163.0	68.0	68.0	52.0	10.0	139.0	171.0	516.0	0.0	0.0	0.0	0.0	0.0	0.0
b3277a14e15401442e0167b66cdeb17c	0.0	0.0	0.0	0.0	17.0	0.0	41.0	63.0	23.0	523.0	164.0	186.0	63.0	0.0	84.0
42263a15ebe4ab0d9b0de8d7ca6f60ea	0.0	138.0	0.0	0.0	0.0	0.0	705.0	314.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35963c2f13929c0037df65dbf7f3147b	0.0	285.0	0.0	0.0	0.0	0.0	589.0	136.0	128.0	0.0	0.0	0.0	0.0	0.0	0.0
31343e0d6d9eb665870d0de5b7bef272	0.0	294.0	21.0	9.0	14.0	0.0	8.0	0.0	0.0	305.0	66.0	20.0	38.0	44.0	314.0
143d8bc069b05850263b5b1d05dbb19b	75.0	20.0	366.0	182.0	0.0	6.0	36.0	157.0	43.0	70.0	0.0	0.0	123.0	0.0	32.0
87efbdff39108c0e59517054ed8283e2	16.0	726.0	119.0	16.0	46.0	0.0	10.0	154.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0
cb6e166ca049e412ff256bb7b92805b1	0.0	70.0	0.0	0.0	0.0	0.0	41.0	0.0	966.0	0.0	0.0	0.0	0.0	0.0	0.0
f7c0a0292397470a9a743c8d7270e1a2	0.0	0.0	0.0	0.0	32.0	784.0	0.0	0.0	65.0	0.0	190.0	0.0	0.0	0.0	0.0
6e2af0658825bc6d7f05459a9ba5b3e3	43.0	243.0	156.0	141.0	25.0	8.0	274.0	93.0	55.0	0.0	0.0	0.0	28.0	0.0	0.0
10ab4a1b2facdbcbea3a8ca84602e72b	61.0	217.0	92.0	133.0	90.0	31.0	100.0	167.0	156.0	0.0	15.0	0.0	0.0	0.0	0.0
1ae1937f19adc3655cfef99a6a24bffb	22.0	260.0	69.0	37.0	0.0	0.0	294.0	0.0	22.0	0.0	39.0	99.0	207.0	0.0	13.0
9518501ef8d8ae8be94f1decb745aaa5	0.0	255.0	0.0	0.0	0.0	0.0	361.0	435.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c1512897e7fcb220cde94e3ef3d9686c	0.0	43.0	0.0	0.0	5.0	0.0	0.0	0.0	9.0	263.0	48.0	476.0	40.0	75.0	89.0
0dbab75211986ba3ce7b1064c1e11b2c	29.0	238.0	141.0	76.0	58.0	0.0	164.0	161.0	84.0	68.0	0.0	0.0	18.0	0.0	0.0
d9fef0cd37a1e33ae1ebdf76191365d5	24.0	155.0	77.0	138.0	94.0	0.0	310.0	181.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0
f29aae41feb0912283a27946a4234850	0.0	374.0	0.0	0.0	0.0	0.0	323.0	333.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
e3b801ea99677a7551ea0e07ef3a4f29	0.0	199.0	5.0	0.0	135.0	11.0	535.0	117.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0
9a1e646046f8a74181b5d12045ebcdc3	365.0	148.0	54.0	42.0	0.0	0.0	0.0	0.0	335.0	0.0	0.0	60.0	0.0	0.0	0.0
3983546ce1f6f66d99cdf49506831345	98.0	81.0	337.0	81.0	0.0	16.0	120.0	0.0	9.0	224.0	0.0	0.0	0.0	36.0	0.0
6e7d01c6ee8456c5d70b92a8ee5551cb	0.0	0.0	6.0	0.0	0.0	941.0	0.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0
a452e8acdfaa0a20948a805ef7054928	56.0	139.0	294.0	144.0	16.0	0.0	142.0	179.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0
e33f3080202c9dc71e3d63bb7e2d88b6	0.0	0.0	6.0	0.0	37.0	185.0	448.0	213.0	91.0	0.0	0.0	0.0	0.0	0.0	0.0
74c22439fea4ee5cfa8597901cd21c37	68.0	56.0	380.0	177.0	34.0	0.0	43.0	19.0	78.0	78.0	0.0	41.0	0.0	0.0	0.0
6123bd8ad84415c0c92491f42e350eba	0.0	112.0	38.0	38.0	93.0	250.0	93.0	0.0	339.0	0.0	0.0	0.0	0.0	0.0	0.0
cf9707b7518fca50f2447a9151649550	7.0	0.0	122.0	35.0	73.0	26.0	71.0	28.0	593.0	0.0	0.0	0.0	0.0	0.0	0.0
10c07a259112eca0fcb431d00d72252a	0.0	38.0	0.0	36.0	71.0	0.0	65.0	59.0	683.0	0.0	0.0	0.0	0.0	0.0	0.0
